# spell glossary: word<TAB>part_of_speech<TAB>short definition
# Coverage: bundled en_US.dic (80 words). Target ≥80% for tests.
# Context clues help users tell similar-looking words apart (e.g. there/their).
# Rebuild: python scripts/build_glossary.py  (WordNet → Wiktionary → LLM)
# Lines starting with # are comments.

hello	interj.	used as a greeting
moorhen	n.	black gallinule that inhabits ponds and lakes
moorhen	n.	female red grouse
mooring	n.	a place where a craft can be made fast
mooring	n.	(nautical) a line that holds an object (especially a boat) in place
mooring	v.	secure in or as if in a berth or dock
mooring	v.	come into or dock at a wharf
mooring	v.	secure with cables or ropes
moorish	n.	a style of architecture common in Spain from the 13th to 16th centuries; characterized by horseshoe-shaped arches
moorish	adj.	relating to or characteristic of the Moors
moorland	n.	open land usually with peaty soil covered with heather and bracken and moss
moose	n.	large northern deer with enormous flattened antlers in the male; called `elk' in Europe and `moose' in North America
moot	n.	a hypothetical case that law students argue as an exercise
moot	v.	think about carefully; weigh
moot	adj.	of no legal significance (as having been previously decided)
moot	adj.	open to argument or debate
mop	n.	cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors
mop	v.	to wash or wipe with or as if with a mop
mop	v.	make a sad face and thrust out one's lower lip
mope	n.	someone who wastes time
mope	v.	move around slowly and aimlessly
mope	v.	be apathetic, gloomy, or dazed
moped	n.	a motorbike that can be pedaled or driven by a low-powered gasoline engine
moped	v.	move around slowly and aimlessly
moped	v.	be apathetic, gloomy, or dazed
moped	v.	to wash or wipe with or as if with a mop
moped	v.	make a sad face and thrust out one's lower lip
mopped	v.	to wash or wipe with or as if with a mop
mopped	v.	make a sad face and thrust out one's lower lip
moppet	n.	a little girl (usually one you are fond of)
mopping	n.	cleaning with a mop
mopping	v.	to wash or wipe with or as if with a mop
mopping	v.	make a sad face and thrust out one's lower lip
moraine	n.	accumulated earth and stones deposited by a glacier
moral	n.	the significance of a story or event
moral	adj.	concerned with principles of right and wrong or conforming to standards of behavior and character based on those principles
moral	adj.	psychological rather than physical or tangible in effect
morale	n.	a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
morale	n.	the spirit of a group that makes the members want the group to succeed
morales	n.	a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose
morales	n.	the spirit of a group that makes the members want the group to succeed
moralism	n.	a moral maxim
moralism	n.	judgments about another person's morality
moralist	n.	a philosopher who specializes in morals and moral problems
moralist	n.	someone who demands exact conformity to rules and forms
moralistic	adj.	narrowly and conventionally moral
moralities	n.	concern with the distinction between good and evil or right and wrong; right or good conduct
moralities	n.	motivation based on ideas of right and wrong
morality	n.	concern with the distinction between good and evil or right and wrong; right or good conduct
morality	n.	motivation based on ideas of right and wrong
moralization	n.	indulgence in moral pronouncements; the exposition (often superficially) of a particular moral code
moralization	n.	the act of making moral (or more moral)
moralize	v.	interpret the moral meaning of
moralize	v.	speak as if delivering a sermon; express moral judgements
moralize	v.	improve the morals of
morass	n.	a soft wet area of low-lying land that sinks underfoot
moratorium	n.	a legally authorized postponement before some obligation must be discharged
moratorium	n.	suspension of an ongoing activity
moravia	n.	a region in the central and eastern part of the Czech Republic; it lies to the east of Bohemia and to the west of the Carpathians
moravian	adj.	of or relating to the people or culture of Moravia
moray	n.	family of brightly colored voracious eels of warm coastal waters; generally nonaggressive to humans but larger species are dangerous if provoked
morbid	adj.	suggesting an unhealthy mental state
morbid	adj.	suggesting the horror of death and decay
morbid	adj.	caused by or altered by or manifesting disease or pathology
morbidity	n.	the relative incidence of a particular disease
morbidity	n.	an abnormally gloomy or unhealthy state of mind
morbidity	n.	the quality of being unhealthful and generally bad for you
morbidness	n.	an abnormally gloomy or unhealthy state of mind
morbidness	n.	the quality of being unhealthful and generally bad for you
mordant	n.	a substance used to treat leather or other materials before dyeing; aids in dyeing process
mordant	adj.	harshly ironic or sinister
mordant	adj.	of a substance, especially a strong acid; capable of destroying or eating away by chemical action
more	n.	English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state
more	adj.	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
more	adj.	(comparative of `many' used with count nouns) quantifier meaning greater in number
more	adv.	used to form the comparative of some adjectives and adverbs
more	adv.	comparative of much; to a greater degree or extent
morel	n.	any of various edible mushrooms of the genus Morchella having a brownish spongelike cap
moreover	adv.	in addition
mores	n.	(sociology) the conventions that embody the fundamental values of a group
mores	n.	English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state
morgan	n.	United States anthropologist who studied the Seneca (1818-1881)
morgan	n.	United States biologist who formulated the chromosome theory of heredity (1866-1945)
morgan	n.	a Welsh buccaneer who raided Spanish colonies in the West Indies for the English (1635-1688)
morgan	n.	soldier in the American Revolution who defeated the British in the battle of Cowpens, South Carolina (1736-1802)
morgan	n.	United States financier and philanthropist (1837-1913)
morgan	n.	an American breed of small compact saddle horses
morgantown	n.	a city in northern West Virginia on the Monongahela river near the Pennsylvania border; site of the University of West Virginia
morgue	n.	a building (or room) where dead bodies are kept before burial or cremation
moribund	adj.	not growing or changing; without force or vitality
moribund	adj.	being on the point of death; breathing your last
morley	n.	United States chemist and physicist who collaborated with Michelson in the Michelson-Morley experiment (1838-1923)
mormon	n.	the ancient prophet whose writings were revealed to Joseph Smith who founded the Church of Jesus Christ of Latter-Day Saints
mormon	n.	a member of the Church of Jesus Christ of Latter-Day Saints
mormon	adj.	of or pertaining to or characteristic of the Mormon Church
mormonism	n.	the doctrines and practices of the Mormon Church based on the Book of Mormon
morn	n.	the time period between dawn and noon
morning	n.	the time period between dawn and noon
morning	n.	a conventional expression of greeting or farewell
morning	n.	the first light of day
morning	n.	the earliest period
moro	n.	a member of the predominantly Muslim people in the southern Philippines
moroccan	n.	a native or inhabitant of Morocco
moroccan	adj.	of or relating to or characteristic of Morocco or its people
morocco	n.	a kingdom (constitutional monarchy) in northwestern Africa with a largely Muslim population; achieved independence from France in 1956
morocco	n.	a soft pebble-grained leather made from goatskin; used for shoes and book bindings etc.
moron	n.	a person of subnormal intelligence
moron	n.	a city in Argentina, to the west of Buenos Aires
moronic	adj.	having a mental age of between eight and twelve years
morose	adj.	showing a brooding ill humor; ; ; ; ; ; - Bruce Bliven
moroseness	n.	a gloomy ill-tempered feeling
moroseness	n.	a sullen moody resentful disposition
morph	v.	cause to change shape in a computer animation
morph	v.	change shape as via computer animation
morpheme	n.	minimal meaningful language unit; it cannot be divided into smaller meaningful units
morphemic	adj.	of or relating to morphemes
morpheus	n.	the Roman god of sleep and dreams
morphia	n.	an alkaloid narcotic drug extracted from opium; a powerful, habit-forming narcotic used to relieve pain
morphine	n.	an alkaloid narcotic drug extracted from opium; a powerful, habit-forming narcotic used to relieve pain
morphing	v.	cause to change shape in a computer animation
morphing	v.	change shape as via computer animation
morphological	adj.	relating to or concerned with the formation of admissible words in a language
morphological	adj.	pertaining to geological structure
morphological	adj.	relating to or concerned with the morphology of plants and animals
morphology	n.	the branch of biology that deals with the structure of animals and plants
morphology	n.	studies of the rules for forming admissible words
morphology	n.	the admissible arrangement of sounds in words
morphology	n.	the branch of geology that studies the characteristics and configuration and evolution of rocks and land forms
morphs	v.	cause to change shape in a computer animation
morphs	v.	change shape as via computer animation
morris	n.	United States suffragist in Wyoming (1814-1902)
morris	n.	English poet and craftsman (1834-1896)
morris	n.	leader of the American Revolution who signed the Declaration of Independence and raised money for the Continental Army (1734-1806)
morris	n.	United States statesman who led the committee that produced the final draft of the United States Constitution (1752-1816)
morrison	n.	United States rock singer (1943-1971)
morrison	n.	United States writer whose novels describe the lives of African-Americans (born in 1931)
morristown	n.	a town in northern New Jersey where the Continental Army spent two winters
morrow	n.	the next day
morse	n.	a telegraph code in which letters and numbers are represented by strings of dots and dashes (short and long signals)
morse	n.	United States portrait painter who patented the telegraph and developed the Morse code (1791-1872)
morsel	n.	a small quantity of anything
morsel	n.	a small amount of solid food; a mouthful
mortal	n.	a human being
mortal	adj.	subject to death
mortal	adj.	involving loss of divine grace or spiritual death
mortal	adj.	unrelenting and deadly
mortal	adj.	causing or capable of causing death
mortality	n.	the quality or state of being mortal
mortality	n.	the ratio of deaths in an area to the population of that area; expressed per 1000 per year
mortar	n.	a muzzle-loading high-angle gun with a short barrel that fires shells at high elevations for a short range
mortar	n.	used as a bond in masonry or for covering a wall
mortar	n.	a bowl-shaped vessel in which substances can be ground and mixed with a pestle
mortar	v.	plaster with mortar
mortarboard	n.	a square board with a handle underneath; used by masons to hold or carry mortar
mortarboard	n.	an academic cap with a flat square with a tassel on top
mortgage	n.	a conditional conveyance of property as security for the repayment of a loan
mortgage	v.	put up as security or collateral
mortgagee	n.	the person who accepts a mortgage
mortgagor	n.	the person who gives a mortgage in return for money to be repaid
mortician	n.	one whose business is the management of funerals
mortification	n.	strong feelings of embarrassment
mortification	n.	the localized death of living cells (as from infection or the interruption of blood supply)
mortification	n.	an instance in which you are caused to lose your prestige or self-respect
mortification	n.	(Christianity) the act of mortifying the lusts of the flesh by self-denial and privation (especially by bodily pain or discomfort inflicted on yourself)
mortify	v.	practice self-denial of one's body and appetites
mortify	v.	hold within limits and control
mortify	v.	cause to feel shame; hurt the pride of
mortify	v.	undergo necrosis
mortimer	n.	English nobleman who deposed Edward II and was executed by Edward III (1287-1330)
mortise	n.	a square hole made to receive a tenon and so to form a joint
mortise	v.	cut a hole for a tenon in
mortise	v.	join by a tenon and mortise
morton	n.	United States jazz musician who moved from ragtime to New Orleans jazz (1885-1941)
mortuary	n.	a building (or room) where dead bodies are kept before burial or cremation
mortuary	adj.	of or relating to or characteristic of death
mortuary	adj.	of or relating to a funeral
mosaic	n.	art consisting of a design made of small pieces of colored stone or glass
mosaic	n.	viral disease in solanaceous plants (tomatoes, potatoes, tobacco) resulting in mottling and often shriveling of the leaves
mosaic	n.	a freeware browser
mosaic	n.	a pattern resembling a mosaic
mosaic	n.	transducer formed by the light-sensitive surface on a television camera tube
mosaic	n.	arrangement of aerial photographs forming a composite picture
mosaic	adj.	of or relating to Moses or the laws and writings attributed to him
moscow	n.	a city of central European Russia; formerly capital of both the Soviet Union and Soviet Russia; since 1991 the capital of the Russian Federation
moselle	n.	German white wine from the Moselle valley or a similar wine made elsewhere
moses	n.	(Old Testament) the Hebrew prophet who led the Israelites from Egypt across the Red sea on a journey known as the Exodus; Moses received the Ten Commandments from God on Mount Sinai
moses	n.	United States painter of colorful and primitive rural scenes (1860-1961)
mosey	v.	walk leisurely
mosh	v.	dance the slam dance
mosque	n.	(Islam) a Muslim place of worship that usually has a minaret
mosquito	n.	two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
mosquitoes	n.	two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals
moss	n.	tiny leafy-stemmed flowerless plants
mossback	n.	an extremely old-fashioned conservative
mossy	adj.	overgrown with moss
mossy	adj.	(used pejoratively) out of fashion; old fashioned
most	adj.	(superlative of `many' used with count nouns and often preceded by `the') quantifier meaning the greatest in number
most	adj.	the superlative of `much' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning the greatest in amount or extent or degree
most	adv.	used to form the superlative
most	adv.	very
most	adv.	(of actions or states) slightly short of or not quite accomplished; all but
mosul	n.	a city in northern Iraq on the Tigris across from the ruins of Nineveh
mot	n.	a clever remark
mot	n.	a compulsory annual test of older motor vehicles for safety and exhaust fumes
mote	n.	(nontechnical usage) a tiny piece of anything
motel	n.	a motor hotel
motet	n.	an unaccompanied choral composition with sacred lyrics; intended to be sung as part of a church service; originated in the 13th century
moth	n.	typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae
mothball	n.	a small sphere of camphor or naphthalene used to keep moths away from stored clothing
mothball	v.	put into long-term storage
mother	n.	a woman who has given birth to a child (also used as a term of address to your mother)
mother	n.	a stringy slimy substance consisting of yeast cells and bacteria; forms during fermentation and is added to cider or wine to produce vinegar
mother	n.	a term of address for an elderly woman
mother	n.	a term of address for a mother superior
mother	n.	a condition that is the inspiration for an activity or situation
mother	v.	care for like a mother
mother	v.	make children
motherfucker	n.	insulting terms of address for people who are stupid or irritating or ridiculous
motherhood	n.	the kinship relation between an offspring and the mother
motherland	n.	the country where you were born
motherless	adj.	having no living or known mother
motherliness	n.	the quality of having or showing the tenderness and warmth and affection of or befitting a mother
moths	n.	typically crepuscular or nocturnal insect having a stout body and feathery or hairlike antennae
motif	n.	a design or figure that consists of recurring shapes or colors, as in architecture or decoration
motif	n.	a theme that is repeated or elaborated in a piece of music
motif	n.	a unifying idea that is a recurrent element in literary or artistic work
motile	n.	one whose prevailing mental imagery takes the form of inner feelings of action
motile	adj.	(of spores or microorganisms) capable of movement
motility	n.	ability to move spontaneously and independently
motility	n.	a change of position that does not entail a change of location
motion	n.	the use of movements (especially of the hands) to communicate familiar or prearranged signals
motion	n.	a natural event that involves a change in the position or location of something
motion	n.	a change of position that does not entail a change of location
motion	n.	a state of change
motion	n.	a formal proposal for action made to a deliberative assembly for discussion and vote
motion	n.	the act of changing location from one place to another
motion	n.	an optical illusion of motion produced by viewing a rapid succession of still pictures of a moving object
motion	v.	show, express or direct through movement
motioned	v.	show, express or direct through movement
motioning	v.	show, express or direct through movement
motionless	adj.	not in physical motion
motionlessness	n.	a state of no motion or movement
motivate	v.	give an incentive for action
motivated	v.	give an incentive for action
motivated	adj.	provided with a motive or given incentive for action
motivation	n.	the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
motivation	n.	the condition of being motivated
motivation	n.	the act of motivating; providing incentive
motivational	adj.	of or relating to motivation
motivator	n.	a positive motivational influence
motive	n.	the psychological feature that arouses an organism to action toward a desired goal; the reason for the action; that which gives purpose and direction to behavior
motive	n.	a theme that is repeated or elaborated in a piece of music
motive	n.	a design or figure that consists of recurring shapes or colors, as in architecture or decoration
motive	adj.	causing or able to cause motion
motive	adj.	impelling to action; - Arthur Pap
motiveless	adj.	occurring without motivation or provocation; ; - F.D.Roosevelt
motley	n.	a collection containing a variety of sorts of things
motley	n.	a garment made of motley (especially a court jester's costume)
motley	n.	a multicolored woolen fabric woven of mixed threads in 14th to 17th century England
motley	v.	make something more diverse and varied
motley	v.	make motley; color with different colors
motley	adj.	consisting of a haphazard assortment of different kinds; ; ; ; ; ; - I.A.Richards
motley	adj.	having sections or patches colored differently and usually brightly
motor	n.	machine that converts other forms of energy into mechanical energy and so imparts motion
motor	n.	a nonspecific agent that imparts motion
motor	v.	travel or be transported in a vehicle
motor	adj.	conveying information to the muscles from the CNS
motor	adj.	causing or able to cause motion
motorbike	n.	small motorcycle with a low frame and small wheels and elevated handlebars
motorbike	v.	ride a motorcycle
motorboat	n.	a boat propelled by an internal-combustion engine
motorboat	v.	ride in a motorboat
motorcade	n.	a procession of people traveling in motor cars
motorcar	n.	a motor vehicle with four wheels; usually propelled by an internal combustion engine
motorcycle	n.	a motor vehicle with two wheels and a strong frame
motorcycle	v.	ride a motorcycle
motorcyclist	n.	a traveler who rides a motorcycle
motorist	n.	someone who drives (or travels in) an automobile
motorization	n.	the act of motorizing (equiping with motors or with motor vehicles)
motorize	v.	equip with a motor vehicle
motorize	v.	equip with a motor
motorize	v.	equip with armed and armored motor vehicles
motorman	n.	the operator of streetcar
motormen	n.	the operator of streetcar
motormouth	n.	someone who talks incessantly
motormouths	n.	someone who talks incessantly
motorway	n.	a broad highway designed for high-speed traffic
motown	n.	the largest city in Michigan and a major Great Lakes port; center of the United States automobile industry; located in southeastern Michigan on the Detroit river across from Windsor
motrin	n.	a nonsteroidal anti-inflammatory and analgesic medicine (trade names Advil and Motrin and Nuprin) used to relieve the pain of arthritis and as an antipyretic
mott	n.	United States feminist and suffragist (1793-1880)
mottle	n.	an irregular arrangement of patches of color
mottle	v.	mark with spots or blotches of different color or shades of color as if stained
mottle	v.	colour with streaks or blotches of different shades
motto	n.	a favorite saying of a sect or political group
mottoes	n.	a favorite saying of a sect or political group
moue	n.	a disdainful grimace
mound	n.	(baseball) the slight elevation on which the pitcher stands
mound	n.	a small natural hill
mound	n.	a collection of objects laid on top of each other
mound	n.	structure consisting of an artificial heap or bank usually of earth or stones
mound	n.	the position on a baseball team of the player who throws the ball for a batter to try to hit
mound	v.	form into a rounded elevation
mount	n.	a lightweight horse kept for riding only
mount	n.	the act of climbing something
mount	n.	a land mass that projects well above its surroundings; higher than a hill
mount	n.	a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place
mount	n.	something forming a back that is added for strengthening
mount	v.	attach to a support
mount	v.	go up or advance
mount	v.	fix onto a backing, setting, or support
mount	v.	put up or launch
mount	v.	get up on the back of
mount	v.	go upward with gradual or continuous progress
mount	v.	prepare and supply with the necessary equipment for execution or performance
mount	v.	copulate with
mountain	n.	a land mass that projects well above its surroundings; higher than a hill
mountain	n.	(often followed by `of') a large number or amount or extent
mountaineer	n.	someone who climbs mountains
mountaineer	v.	climb mountains for pleasure as a sport
mountaineering	n.	the activity of climbing a mountain
mountaineering	v.	climb mountains for pleasure as a sport
mountainous	adj.	having hills and crags
mountainous	adj.	like a mountain in size and impressiveness
mountainous	adj.	containing many mountains
mountainside	n.	the side or slope of a mountain
mountebank	n.	a flamboyant deceiver; one who attracts customers with tricks or jokes
mounted	v.	attach to a support
mounted	v.	go up or advance
mounted	v.	fix onto a backing, setting, or support
mounted	v.	put up or launch
mounted	v.	get up on the back of
mounted	v.	go upward with gradual or continuous progress
mounted	v.	prepare and supply with the necessary equipment for execution or performance
mounted	v.	copulate with
mounted	adj.	assembled for use; especially by being attached to a support
mounted	adj.	decorated with applied ornamentation; often used in combination; - F.V.W.Mason
mounter	n.	a skilled worker who mounts pictures or jewels etc.
mounter	n.	someone who ascends on foot
mountie	n.	colloquial term for a member of the Royal Canadian Mounted Police
mounting	n.	an event that involves rising to a higher point (as in altitude or temperature or intensity etc.)
mounting	n.	framework used for support or display
mounting	v.	attach to a support
mounting	v.	go up or advance
mounting	v.	fix onto a backing, setting, or support
mounting	v.	put up or launch
mounting	v.	get up on the back of
mounting	v.	go upward with gradual or continuous progress
mounting	v.	prepare and supply with the necessary equipment for execution or performance
mounting	v.	copulate with
mourn	v.	feel sadness
mourn	v.	observe the customs of mourning after the death of a loved one
mourned	v.	feel sadness
mourned	v.	observe the customs of mourning after the death of a loved one
mourner	n.	a person who is feeling grief (as grieving over someone who has died)
mournful	adj.	expressing sorrow
mournful	adj.	filled with or evoking sadness
mournfulness	n.	a state of gloomy sorrow
mourning	n.	state of sorrow over the death or departure of a loved one
mourning	n.	the passionate and demonstrative activity of expressing grief
mourning	v.	feel sadness
mourning	v.	observe the customs of mourning after the death of a loved one
mourning	adj.	sorrowful through loss or deprivation
mouse	n.	any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails
mouse	n.	a swollen bruise caused by a blow to the eye
mouse	n.	person who is quiet or timid
mouse	n.	a hand-operated electronic device that controls the coordinates of a cursor on your computer screen as you move it around on a pad; on the bottom of the device is a ball that rolls on the surface of the pad
mouse	v.	to go stealthily or furtively
mouse	v.	manipulate the mouse of a computer
mouser	n.	a cat proficient at mousing
mousetrap	n.	a trap for catching mice
mousetrap	n.	(American football) a play in which a defensive player is allowed to cross the line of scrimmage and then blocked off as the runner goes through the place the lineman vacated
moussaka	n.	casserole of eggplant and ground lamb with onion and tomatoes bound with white sauce and beaten eggs
mousse	n.	a rich, frothy, creamy dessert made with whipped egg whites and heavy cream
mousse	n.	a light creamy dish made from fish or meat and set with gelatin
mousse	n.	toiletry consisting of an aerosol foam used in hair styling
mousse	v.	apply a styling gel to
moussorgsky	n.	Russian composer of operas and orchestral works (1839-1881)
mousy	adj.	quiet and timid and ineffectual
mousy	adj.	infested with mice
mousy	adj.	of something having a drab pale brown color resembling a mouse
mouth	n.	the opening through which food is taken in and vocalizations emerge
mouth	n.	the externally visible part of the oral cavity on the face and the system of organs surrounding the opening
mouth	n.	an opening that resembles a mouth (as of a cave or a gorge)
mouth	n.	the point where a stream issues into a larger body of water
mouth	n.	a person conceived as a consumer of food
mouth	n.	a spokesperson (as a lawyer)
mouth	n.	an impudent or insolent rejoinder
mouth	n.	the opening of a jar or bottle
mouth	v.	express in speech
mouth	v.	articulate silently; form words with the lips only
mouth	v.	touch with the mouth
mouthful	n.	the quantity that can be held in the mouth
mouthful	n.	a small amount eaten or drunk
mouthpiece	n.	a part that goes over or into the mouth of a person
mouthpiece	n.	an acoustic device; the part of a telephone into which a person speaks
mouthpiece	n.	a spokesperson (as a lawyer)
mouthpiece	n.	(especially boxing) equipment that protects an athlete's mouth
mouthpiece	n.	the tube of a pipe or cigarette holder that a smoker holds in the mouth
mouthpiece	n.	the aperture of a wind instrument into which the player blows directly
mouths	n.	the opening through which food is taken in and vocalizations emerge
mouths	n.	the externally visible part of the oral cavity on the face and the system of organs surrounding the opening
mouths	n.	an opening that resembles a mouth (as of a cave or a gorge)
mouths	n.	the point where a stream issues into a larger body of water
mouths	n.	a person conceived as a consumer of food
mouths	n.	a spokesperson (as a lawyer)
mouths	n.	an impudent or insolent rejoinder
mouths	n.	the opening of a jar or bottle
mouths	v.	express in speech
mouths	v.	articulate silently; form words with the lips only
mouths	v.	touch with the mouth
mouthwash	n.	a medicated solution used for gargling and rinsing the mouth
mouton	n.	meat from a mature domestic sheep
movable	n.	personal as opposed to real property; any tangible movable property (furniture or domestic animals or a car etc)
movable	adj.	(of personal property as opposed to real estate) can be moved from place to place (especially carried by hand)
movable	adj.	capable of being moved or conveyed from one place to another
move	n.	the act of deciding to do something
move	n.	the act of changing your residence or place of business
move	n.	a change of position that does not entail a change of location
move	n.	the act of changing location from one place to another
move	n.	(game) a player's turn to take some action permitted by the rules of the game
move	v.	change location; move, travel, or proceed, also metaphorically
move	v.	cause to move or shift into a new position or place, both in a concrete and in an abstract sense
move	v.	move so as to change position, perform a nontranslational motion
move	v.	change residence, affiliation, or place of employment
move	v.	follow a procedure or take a course
move	v.	be in a state of action
move	v.	go or proceed from one point to another
move	v.	perform an action, or work out or perform (an action)
move	v.	have an emotional or cognitive impact upon
move	v.	give an incentive for action
move	v.	arouse sympathy or compassion in
move	v.	dispose of by selling
move	v.	progress by being changed
move	v.	live one's life in a specified environment
move	v.	have a turn; make one's move in a game
move	v.	propose formally; in a debate or parliamentary meeting
moved	v.	change location; move, travel, or proceed, also metaphorically
moved	v.	cause to move or shift into a new position or place, both in a concrete and in an abstract sense
moved	v.	move so as to change position, perform a nontranslational motion
moved	v.	change residence, affiliation, or place of employment
moved	v.	follow a procedure or take a course
moved	v.	be in a state of action
moved	v.	go or proceed from one point to another
moved	v.	perform an action, or work out or perform (an action)
moved	v.	have an emotional or cognitive impact upon
moved	v.	give an incentive for action
moved	v.	arouse sympathy or compassion in
moved	v.	dispose of by selling
moved	v.	progress by being changed
moved	v.	live one's life in a specified environment
moved	v.	have a turn; make one's move in a game
moved	v.	propose formally; in a debate or parliamentary meeting
moved	adj.	being excited or provoked to the expression of an emotion
movement	n.	a change of position that does not entail a change of location
movement	n.	the act of changing location from one place to another
movement	n.	a natural event that involves a change in the position or location of something
movement	n.	a group of people with a common ideology who try together to achieve certain general goals
movement	n.	a major self-contained part of a symphony or sonata
movement	n.	a series of actions advancing a principle or tending toward a particular end
movement	n.	an optical illusion of motion produced by viewing a rapid succession of still pictures of a moving object
movement	n.	a euphemism for defecation
movement	n.	a general tendency to change (as of opinion)
movement	n.	the driving and regulating parts of a mechanism (as of a watch or clock)
movement	n.	the act of changing the location of something
mover	n.	workman employed by a moving company
mover	n.	(parliamentary procedure) someone who makes a formal motion
mover	n.	someone who moves
mover	n.	a company that moves the possessions of a family or business from one site to another
movie	n.	a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
moviegoer	n.	someone who goes to see movies
moving	v.	change location; move, travel, or proceed, also metaphorically
moving	v.	cause to move or shift into a new position or place, both in a concrete and in an abstract sense
moving	v.	move so as to change position, perform a nontranslational motion
moving	v.	change residence, affiliation, or place of employment
moving	v.	follow a procedure or take a course
moving	v.	be in a state of action
moving	v.	go or proceed from one point to another
moving	v.	perform an action, or work out or perform (an action)
moving	v.	have an emotional or cognitive impact upon
moving	v.	give an incentive for action
moving	v.	arouse sympathy or compassion in
moving	v.	dispose of by selling
moving	v.	progress by being changed
moving	v.	live one's life in a specified environment
moving	v.	have a turn; make one's move in a game
moving	v.	propose formally; in a debate or parliamentary meeting
moving	adj.	in motion
moving	adj.	arousing or capable of arousing deep emotion; - N. Hawthorne
moving	adj.	used of a series of photographs presented so as to create the illusion of motion
mow	n.	a loft in a barn where hay is stored
mow	v.	cut with a blade or mower
mow	v.	make a sad face and thrust out one's lower lip
mower	n.	garden tool for mowing grass on lawns
moxie	n.	fortitude and determination
mozambican	n.	a native or inhabitant of Mozambique
mozambican	adj.	of or relating to or located in Mozambique
mozambican	adj.	of or relating to the people of Mozambique
mozambique	n.	a republic on the southeastern coast of Africa on the Mozambique Channel; became independent from Portugal in 1975
mozart	n.	prolific Austrian composer and child prodigy; master of the classical style in all its forms of his time (1756-1791)
mozart	n.	the music of Mozart
mozzarella	n.	mild white Italian cheese
mp	n.	a member of the military police who polices soldiers and guards prisoners
mp	n.	a military corps that enforces discipline and guards prisoners
mpeg	n.	a set of standards adopted by the moving pictures experts group for the compression of digital video and audio data or a file of data compressed according to those standards
mph	n.	the ratio of the distance traveled (in miles) to the time spent traveling (in hours)
mph	n.	a speedometer reading for the momentary rate of travel
mr	n.	a form of address for a man
mri	n.	the use of nuclear magnetic resonance of protons to produce proton density images
ms	n.	a chronic progressive nervous disorder involving loss of myelin sheath around certain nerve fibers
ms	n.	a state in the Deep South on the gulf of Mexico; one of the Confederate States during the American Civil War
ms	n.	a master's degree in science
ms	n.	the form of a literary work submitted for publication
ms	n.	a form of address for a woman
ms	n.	the basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
ms	n.	concentration measured by the number of moles of solute per liter of solution
ms	n.	the cardinal number that is the product of 10 and 100
ms	n.	a unit of information equal to 1000 kilobytes or 10^6 (1,000,000) bytes
ms	n.	a unit of information equal to 1024 kibibytes or 2^20 (1,048,576) bytes
ms	n.	the 13th letter of the Roman alphabet
msg	n.	white crystalline compound used as a food additive to enhance flavor; often used in Chinese cooking
mst	n.	standard time in the 7th time zone west of Greenwich, reckoned at the 105th meridian west; used in the mountain states of the United States
mt	n.	a radioactive transuranic element
mt	n.	a unit of weight equivalent to 1000 kilograms
mt	n.	a state in northwestern United States on the Canadian border
mt	n.	the use of computers to translate from one language to another
mu	n.	the 12th letter of the Greek alphabet
mubarak	n.	Egyptian statesman who became president in 1981 after Sadat was assassinated (born in 1929)
much	n.	a great amount or extent
much	adj.	(quantifier used with mass nouns) great in quantity or degree or extent
much	adv.	to a great degree or extent
much	adv.	very
much	adv.	to a very great degree or extent
much	adv.	(degree adverb used before a noun phrase) for all practical purposes but not completely
much	adv.	frequently or in great quantities
mucilage	n.	a gelatinous substance secreted by plants
mucilage	n.	cement consisting of a sticky substance that is used as an adhesive
mucilaginous	adj.	having the sticky properties of an adhesive
muck	n.	any thick, viscous matter
muck	n.	fecal matter of animals
muck	v.	remove muck, clear away muck, as in a mine
muck	v.	spread manure, as for fertilization
muck	v.	soil with mud, muck, or mire
muckrake	v.	explore and expose misconduct and scandals concerning public figures
muckraker	n.	one who spreads real or alleged scandal about another (usually for political advantage)
mucky	adj.	(of soil) soft and watery
mucky	adj.	dirty and messy; covered with mud or muck
mucous	adj.	of or secreting or covered with or resembling mucus
mucus	n.	protective secretion of the mucus membranes; in the gut it lubricates the passage of food and protects the epithelial cells; in the nose and throat and lungs it can make it difficult for bacteria to penetrate the body through the epithelium
mud	n.	water soaked soil; soft wet earth
mud	n.	slanderous remarks or charges
